2023-05-09 10:05:47,527 INFO Starting...
2023-05-09 10:05:47,527 INFO Tickers: ['UPS']
2023-05-09 10:07:04,353 INFO 7: 0.17473843807227377
2023-05-09 10:07:04,353 INFO 8: 0.14698159133774483
2023-05-09 10:07:04,353 INFO 9: 0.13081978143424075
2023-05-09 10:07:04,353 INFO 10: 0.1602435003402246
2023-05-09 10:07:04,353 INFO Grouping by level and horizont:
2023-05-09 10:07:04,353 INFO 1_1: 0.013622684075205617
2023-05-09 10:07:04,353 INFO 2_1: 0.02169217209427646
2023-05-09 10:07:04,353 INFO 3_1: 0.02532275668689747
2023-05-09 10:07:04,353 INFO 4_1: 0.030601946358683487
2023-05-09 10:07:04,353 INFO 5_1: 0.03620081014554306
2023-05-09 10:07:04,353 INFO 6_1: 0.03668032131815338
2023-05-09 10:07:04,353 INFO 7_1: 0.034501970562580773
2023-05-09 10:07:04,353 INFO 8_1: 0.027898416699775774
2023-05-09 10:07:04,353 INFO 9_1: 0.02380202125376188
2023-05-09 10:07:04,353 INFO 10_1: 0.02755134194626735
2023-05-09 10:07:04,353 INFO 1_2: 0.02390249026135642
2023-05-09 10:07:04,353 INFO 2_2: 0.036698588410443295
2023-05-09 10:07:04,353 INFO 3_2: 0.04144346563274925
2023-05-09 10:07:04,353 INFO 4_2: 0.04985089485918356
2023-05-09 10:07:04,353 INFO 5_2: 0.05290606604467217
2023-05-09 10:07:04,353 INFO 6_2: 0.058107620574226054
2023-05-09 10:07:04,353 INFO 7_2: 0.0518648417841469
2023-05-09 10:07:04,353 INFO 8_2: 0.043169705854146395
2023-05-09 10:07:04,353 INFO 9_2: 0.038068620332187074
2023-05-09 10:07:04,353 INFO 10_2: 0.04637558055102684
2023-05-09 10:07:04,353 INFO 1_3: 0.047996784991756976
2023-05-09 10:07:04,353 INFO 2_3: 0.06971635772446831
2023-05-09 10:07:04,353 INFO 3_3: 0.07467130650810831
2023-05-09 10:07:04,353 INFO 4_3: 0.08534385517849233
2023-05-09 10:07:04,353 INFO 5_3: 0.09314390358628691
2023-05-09 10:07:04,353 INFO 6_3: 0.09482904285003174
2023-05-09 10:07:04,353 INFO 7_3: 0.08837162572554608
2023-05-09 10:07:04,353 INFO 8_3: 0.07591346878382266
2023-05-09 10:07:04,353 INFO 9_3: 0.0689491398482918
2023-05-09 10:07:04,353 INFO 10_3: 0.08631657784293041
2023-05-09 10:07:04,364 INFO Non empty regressions: 0.38429395404912936 --- 84150 / 218973
