2023-05-09 08:31:25,095 INFO Starting...
2023-05-09 08:31:25,095 INFO Tickers: ['MSFT']
2023-05-09 08:32:45,862 INFO used_ofi_trade_3_3: 0.012216117968882008 , std 0.10984937155328818 
2023-05-09 08:32:45,862 INFO used_ofi_trade_4_3: 0.014202664255410485 , std 0.11832560409082461 
2023-05-09 08:32:45,862 INFO used_ofi_trade_5_3: 0.017563809236755216 , std 0.13135951370894336 
2023-05-09 08:32:45,862 INFO used_ofi_trade_6_3: 0.012727596552999685 , std 0.1120964086801346 
2023-05-09 08:32:45,862 INFO used_ofi_trade_7_3: 0.011138359523776904 , std 0.10494901843702965 
2023-05-09 08:32:45,862 INFO used_ofi_trade_8_3: 0.00864490142620323 , std 0.09257519703211253 
2023-05-09 08:32:45,862 INFO used_ofi_trade_9_3: 0.009672425367511063 , std 0.09787169945914391 
2023-05-09 08:32:45,862 INFO used_ofi_trade_10_3: 0.01042594292447014 , std 0.10157382851210164 
2023-05-09 08:32:46,569 INFO Grouping by horizont:
2023-05-09 08:32:46,569 INFO 1: 0.27108364958236875
2023-05-09 08:32:46,569 INFO 2: 0.44736565695314034
2023-05-09 08:32:46,569 INFO 3: 0.821836482123367
2023-05-09 08:32:46,569 INFO Grouping by ofi type:
2023-05-09 08:32:46,569 INFO add: 1.0249117471103744
2023-05-09 08:32:46,569 INFO cancel: 0.3202266946153179
2023-05-09 08:32:46,569 INFO trade: 0.19514734693318353
2023-05-09 08:32:46,570 INFO Grouping by ofi type and horizont:
2023-05-09 08:32:46,570 INFO add_1: 0.1879227119325214
2023-05-09 08:32:46,570 INFO cancel_1: 0.05129856192315948
2023-05-09 08:32:46,570 INFO trade_1: 0.031862375726687764
2023-05-09 08:32:46,570 INFO add_2: 0.2998771538043503
2023-05-09 08:32:46,570 INFO cancel_2: 0.09097011960378677
2023-05-09 08:32:46,570 INFO trade_2: 0.05651838354500327
2023-05-09 08:32:46,570 INFO add_3: 0.5371118813735026
2023-05-09 08:32:46,570 INFO cancel_3: 0.1779580130883716
2023-05-09 08:32:46,570 INFO trade_3: 0.10676658766149252
2023-05-09 08:32:46,570 INFO Grouping by level:
2023-05-09 08:32:46,570 INFO 1: 0.309622647541021
2023-05-09 08:32:46,570 INFO 2: 0.14357934539874778
2023-05-09 08:32:46,570 INFO 3: 0.12108342124371499
2023-05-09 08:32:46,570 INFO 4: 0.14272992560726663
2023-05-09 08:32:46,570 INFO 5: 0.17351910966192177
2023-05-09 08:32:46,570 INFO 6: 0.14528275175478256
2023-05-09 08:32:46,570 INFO 7: 0.13540025482593743
2023-05-09 08:32:46,570 INFO 8: 0.11581336511807393
2023-05-09 08:32:46,570 INFO 9: 0.11914254268791129
2023-05-09 08:32:46,570 INFO 10: 0.13411242481949828
2023-05-09 08:32:46,570 INFO Grouping by level and horizont:
2023-05-09 08:32:46,570 INFO 1_1: 0.06369735081494066
2023-05-09 08:32:46,570 INFO 2_1: 0.0248980467911569
2023-05-09 08:32:46,570 INFO 3_1: 0.020089234745836244
2023-05-09 08:32:46,570 INFO 4_1: 0.023701552246167334
2023-05-09 08:32:46,570 INFO 5_1: 0.0296977252903326
2023-05-09 08:32:46,570 INFO 6_1: 0.025921003959392255
2023-05-09 08:32:46,570 INFO 7_1: 0.02209861489772712
2023-05-09 08:32:46,570 INFO 8_1: 0.019897430276792118
2023-05-09 08:32:46,570 INFO 9_1: 0.019527521657921293
2023-05-09 08:32:46,570 INFO 10_1: 0.021555168902102087
2023-05-09 08:32:46,570 INFO 1_2: 0.09102492088065652
2023-05-09 08:32:46,570 INFO 2_2: 0.041425198540459326
2023-05-09 08:32:46,570 INFO 3_2: 0.035323989715627044
2023-05-09 08:32:46,570 INFO 4_2: 0.04215131545898353
