2023-05-09 08:52:04,313 INFO Starting...
2023-05-09 08:52:04,313 INFO Tickers: ['MA']
2023-05-09 08:53:24,820 INFO used_ofi_add_2_2: 0.024514437853068644 , std 0.15463984024117677 
2023-05-09 08:53:24,820 INFO used_ofi_add_3_2: 0.022970868554570655 , std 0.14981057289930938 
2023-05-09 08:53:24,820 INFO used_ofi_add_4_2: 0.024181063418777658 , std 0.1536110008779147 
2023-05-09 08:53:24,820 INFO used_ofi_add_5_2: 0.02662428701255406 , std 0.16098271445601608 
2023-05-09 08:53:24,820 INFO used_ofi_add_6_2: 0.029177113160069962 , std 0.16830273089796977 
2023-05-09 08:53:24,820 INFO used_ofi_add_7_2: 0.02699876240449736 , std 0.16207970024997842 
2023-05-09 08:53:24,820 INFO used_ofi_add_8_2: 0.027565042265484785 , std 0.16372296940376702 
2023-05-09 08:53:24,820 INFO used_ofi_add_9_2: 0.026893726623830334 , std 0.16177284720283874 
2023-05-09 08:53:24,820 INFO used_ofi_add_10_2: 0.03490841336603143 , std 0.1835478576347262 
2023-05-09 08:53:24,820 INFO used_ofi_cancel_1_2: 0.0069871628008932605 , std 0.08329671276159147 
2023-05-09 08:53:24,820 INFO used_ofi_cancel_2_2: 0.013933224644134209 , std 0.11721386392040108 
2023-05-09 08:53:24,820 INFO used_ofi_cancel_3_2: 0.013960625282569084 , std 0.11732743167856687 
2023-05-09 08:53:24,820 INFO used_ofi_cancel_4_2: 0.014558872555063867 , std 0.11977859485312588 
2023-05-09 08:53:24,820 INFO used_ofi_cancel_5_2: 0.017280669306261504 , std 0.13031518627769034 
2023-05-09 08:53:24,820 INFO used_ofi_cancel_6_2: 0.01754097537139282 , std 0.13127562437258872 
2023-05-09 08:53:24,820 INFO used_ofi_cancel_7_2: 0.01675092362985391 , std 0.1283367842335186 
2023-05-09 08:53:24,820 INFO used_ofi_cancel_8_2: 0.015248455289008233 , std 0.12253954423086184 
2023-05-09 08:53:24,820 INFO used_ofi_cancel_9_2: 0.014741543477963037 , std 0.12051651494235287 
2023-05-09 08:53:24,820 INFO used_ofi_cancel_10_2: 0.02029930630717029 , std 0.1410221417743255 
2023-05-09 08:53:24,820 INFO used_ofi_trade_1_2: 0.00042470989574057075 , std 0.02060411408542068 
2023-05-09 08:53:24,820 INFO used_ofi_trade_2_2: 0.0006302146840021373 , std 0.025096165313732797 
2023-05-09 08:53:24,820 INFO used_ofi_trade_3_2: 0.0006302146840021373 , std 0.025096165313732797 
2023-05-09 08:53:24,820 INFO used_ofi_trade_4_2: 0.001054924579742708 , std 0.03246246623215437 
2023-05-09 08:53:24,820 INFO used_ofi_trade_5_2: 0.0014476670639759239 , std 0.03802066969488838 
2023-05-09 08:53:24,820 INFO used_ofi_trade_6_2: 0.0016303379868750942 , std 0.04034451616916042 
2023-05-09 08:53:24,820 INFO used_ofi_trade_7_2: 0.0015618363907879053 , std 0.03948920178829037 
2023-05-09 08:53:24,820 INFO used_ofi_trade_8_2: 0.0015298689792805505 , std 0.039083608842925256 
2023-05-09 08:53:24,820 INFO used_ofi_trade_9_2: 0.0011645271334822101 , std 0.034105292991522505 
2023-05-09 08:53:24,820 INFO used_ofi_trade_10_2: 0.0008585533376261 , std 0.02928849985561826 
2023-05-09 08:53:24,820 INFO used_ofi_add_1_3: 0.03567106446913546 , std 0.18546870255861023 
2023-05-09 08:53:24,820 INFO used_ofi_add_2_3: 0.041667237513300724 , std 0.199827622793524 
2023-05-09 08:53:24,820 INFO used_ofi_add_3_3: 0.039845095057381506 , std 0.19559515192675334 
2023-05-09 08:53:24,820 INFO used_ofi_add_4_3: 0.03985422860352646 , std 0.19561663800900042 
2023-05-09 08:53:24,820 INFO used_ofi_add_5_3: 0.04427943171075886 , std 0.20571524891978987 
2023-05-09 08:53:24,820 INFO used_ofi_add_6_3: 0.046836824631347244 , std 0.21128922473661466 
2023-05-09 08:53:24,820 INFO used_ofi_add_7_3: 0.04679572367369493 , std 0.21120105094328986 
2023-05-09 08:53:24,820 INFO used_ofi_add_8_3: 0.045909769697633954 , std 0.20928942339244994 
2023-05-09 08:53:24,820 INFO used_ofi_add_9_3: 0.0452384540559795 , std 0.20782669782923596 
2023-05-09 08:53:24,820 INFO used_ofi_add_10_3: 0.0643686664565951 , std 0.245408519076243 
2023-05-09 08:53:24,820 INFO used_ofi_cancel_1_3: 0.0159380380229526 , std 0.1252358453755614 
2023-05-09 08:53:24,820 INFO used_ofi_cancel_2_3: 0.02565156434811598 , std 0.15809352167185867 
2023-05-09 08:53:24,820 INFO used_ofi_cancel_3_3: 0.02454183849150352 , std 0.15472406617899 
