2023-05-09 09:41:35,037 INFO Starting...
2023-05-09 09:41:35,037 INFO Tickers: ['TXN']
2023-05-09 09:42:55,592 INFO used_ofi_trade_6_2: 0.005165020344974038 , std 0.07168223566414515 
2023-05-09 09:42:55,592 INFO used_ofi_trade_7_2: 0.0035712165426787777 , std 0.05965285370444631 
2023-05-09 09:42:55,592 INFO used_ofi_trade_8_2: 0.0025071584167911114 , std 0.05000872497339063 
2023-05-09 09:42:55,592 INFO used_ofi_trade_9_2: 0.002237718805514835 , std 0.04725157584739667 
2023-05-09 09:42:55,592 INFO used_ofi_trade_10_2: 0.001607504121512698 , std 0.04006145344357863 
2023-05-09 09:42:55,592 INFO used_ofi_add_1_3: 0.05522598676549163 , std 0.22842083344403896 
2023-05-09 09:42:55,592 INFO used_ofi_add_2_3: 0.052271284587597555 , std 0.222573577486547 
2023-05-09 09:42:55,592 INFO used_ofi_add_3_3: 0.0414754330442566 , std 0.19938711467406312 
2023-05-09 09:42:55,592 INFO used_ofi_add_4_3: 0.04342544514620524 , std 0.2038128451792456 
2023-05-09 09:42:55,592 INFO used_ofi_add_5_3: 0.051988144657103844 , std 0.22200310239322305 
2023-05-09 09:42:55,592 INFO used_ofi_add_6_3: 0.054961113927287836 , std 0.2279043437127944 
2023-05-09 09:42:55,592 INFO used_ofi_add_7_3: 0.05171413827275509 , std 0.22144928578674952 
2023-05-09 09:42:55,592 INFO used_ofi_add_8_3: 0.043087503938841774 , std 0.20305410841241814 
2023-05-09 09:42:55,592 INFO used_ofi_add_9_3: 0.04180880747854759 , std 0.2001520199642495 
2023-05-09 09:42:55,592 INFO used_ofi_add_10_3: 0.0507870833390418 , std 0.21956264596910613 
2023-05-09 09:42:55,592 INFO used_ofi_cancel_1_3: 0.020413475633982273 , std 0.14140992060857357 
2023-05-09 09:42:55,592 INFO used_ofi_cancel_2_3: 0.026975928539134962 , std 0.1620130482973098 
2023-05-09 09:42:55,592 INFO used_ofi_cancel_3_3: 0.024372867887821788 , std 0.15420386246376763 
2023-05-09 09:42:55,592 INFO used_ofi_cancel_4_3: 0.026217844209103405 , std 0.15978256742877361 
2023-05-09 09:42:55,592 INFO used_ofi_cancel_5_3: 0.03140113164636736 , std 0.1743992562418053 
2023-05-09 09:42:55,592 INFO used_ofi_cancel_6_3: 0.029469386636708634 , std 0.1691181299800965 
2023-05-09 09:42:55,592 INFO used_ofi_cancel_7_3: 0.02545975987907185 , std 0.157516857846936 
2023-05-09 09:42:55,592 INFO used_ofi_cancel_8_3: 0.0225872596164824 , std 0.14858356342307857 
2023-05-09 09:42:55,592 INFO used_ofi_cancel_9_3: 0.02091582067195499 , std 0.14310258249791863 
2023-05-09 09:42:55,592 INFO used_ofi_cancel_10_3: 0.024765610372055002 , std 0.15541002192572576 
2023-05-09 09:42:55,592 INFO used_ofi_trade_1_3: 0.0008174523799737867 , std 0.028579435816339375 
2023-05-09 09:42:55,592 INFO used_ofi_trade_2_3: 0.003685385869490759 , std 0.0605954107213056 
2023-05-09 09:42:55,592 INFO used_ofi_trade_3_3: 0.005891137263498239 , std 0.07652732691817259 
2023-05-09 09:42:55,592 INFO used_ofi_trade_4_3: 0.007813748727012007 , std 0.08804938419911364 
2023-05-09 09:42:55,592 INFO used_ofi_trade_5_3: 0.009585656679133957 , std 0.09743598855229894 
2023-05-09 09:42:55,592 INFO used_ofi_trade_6_3: 0.009640457956003708 , std 0.09771140939727681 
2023-05-09 09:42:55,592 INFO used_ofi_trade_7_3: 0.007471240746576062 , std 0.086112840554024 
2023-05-09 09:42:55,592 INFO used_ofi_trade_8_3: 0.005169587118046517 , std 0.07171375382083583 
2023-05-09 09:42:55,592 INFO used_ofi_trade_9_3: 0.004493704703319588 , std 0.066884312969178 
2023-05-09 09:42:55,592 INFO used_ofi_trade_10_3: 0.003790421650157782 , std 0.061449608248318376 
2023-05-09 09:42:56,277 INFO Grouping by horizont:
2023-05-09 09:42:56,277 INFO 1: 0.2738008795604937
2023-05-09 09:42:56,277 INFO 2: 0.4342133505043999
2023-05-09 09:42:56,277 INFO 3: 0.7976828193430239
2023-05-09 09:42:56,277 INFO Grouping by ofi type:
2023-05-09 09:42:56,277 INFO add: 0.9297493298260516
2023-05-09 09:42:56,277 INFO cancel: 0.4679024354600795
2023-05-09 09:42:56,277 INFO trade: 0.10804528412178668
2023-05-09 09:42:56,278 INFO Grouping by ofi type and horizont:
2023-05-09 09:42:56,278 INFO add_1: 0.17167413334064016
2023-05-09 09:42:56,278 INFO cancel_1: 0.08249875555433774
2023-05-09 09:42:56,278 INFO trade_1: 0.01962799066551584
2023-05-09 09:42:56,278 INFO add_2: 0.2713302553282825
2023-05-09 09:42:56,278 INFO cancel_2: 0.13282459481305914
2023-05-09 09:42:56,278 INFO trade_2: 0.03005850036305846
2023-05-09 09:42:56,278 INFO add_3: 0.4867449411571289
2023-05-09 09:42:56,278 INFO cancel_3: 0.2525790850926827
2023-05-09 09:42:56,278 INFO trade_3: 0.058358793093212395
2023-05-09 09:42:56,278 INFO Grouping by level:
2023-05-09 09:42:56,278 INFO 1: 0.1398574253446772
2023-05-09 09:42:56,278 INFO 2: 0.15517438222977264
2023-05-09 09:42:56,278 INFO 3: 0.13337260758175665
2023-05-09 09:42:56,278 INFO 4: 0.14867586414763467
2023-05-09 09:42:56,278 INFO 5: 0.1768208865933243
2023-05-09 09:42:56,278 INFO 6: 0.1843514953898426
2023-05-09 09:42:56,278 INFO 7: 0.16340370730638024
2023-05-09 09:42:56,278 INFO 8: 0.13638667780959296
2023-05-09 09:42:56,278 INFO 9: 0.12368191512195567
2023-05-09 09:42:56,278 INFO 10: 0.143972087882981
2023-05-09 09:42:56,278 INFO Grouping by level and horizont:
2023-05-09 09:42:56,278 INFO 1_1: 0.024436802710836498
2023-05-09 09:42:56,278 INFO 2_1: 0.02784361542290602
2023-05-09 09:42:56,278 INFO 3_1: 0.023596516465500313
2023-05-09 09:42:56,278 INFO 4_1: 0.02758787613084718
2023-05-09 09:42:56,278 INFO 5_1: 0.03319130669077923
2023-05-09 09:42:56,278 INFO 6_1: 0.03645198266452942
2023-05-09 09:42:56,278 INFO 7_1: 0.030556278627958698
2023-05-09 09:42:56,278 INFO 8_1: 0.02466970813753294
2023-05-09 09:42:56,278 INFO 9_1: 0.021568869221319523
2023-05-09 09:42:56,278 INFO 10_1: 0.023897923488283946
2023-05-09 09:42:56,278 INFO 1_2: 0.038963707854393
2023-05-09 09:42:56,278 INFO 2_2: 0.04439816781064332
2023-05-09 09:42:56,278 INFO 3_2: 0.03803665292067972
2023-05-09 09:42:56,278 INFO 4_2: 0.043630949934466805
2023-05-09 09:42:56,278 INFO 5_2: 0.0506546469199399
2023-05-09 09:42:56,278 INFO 6_2: 0.05382855420531299
2023-05-09 09:42:56,278 INFO 7_2: 0.048202289780018545
2023-05-09 09:42:56,278 INFO 8_2: 0.04087261899868934
2023-05-09 09:42:56,278 INFO 9_2: 0.03489471304681399
2023-05-09 09:42:56,278 INFO 10_2: 0.040731049033442476
2023-05-09 09:42:56,278 INFO 1_3: 0.07645691477944769
2023-05-09 09:42:56,278 INFO 2_3: 0.08293259899622328
2023-05-09 09:42:56,278 INFO 3_3: 0.07173943819557663
2023-05-09 09:42:56,279 INFO 4_3: 0.07745703808232064
2023-05-09 09:42:56,279 INFO 5_3: 0.09297493298260516
2023-05-09 09:42:56,279 INFO 6_3: 0.09407095852000018
2023-05-09 09:42:56,279 INFO 7_3: 0.084645138898403
2023-05-09 09:42:56,279 INFO 8_3: 0.07084435067337069
2023-05-09 09:42:56,279 INFO 9_3: 0.06721833285382216
2023-05-09 09:42:56,279 INFO 10_3: 0.07934311536125457
2023-05-09 09:42:56,290 INFO Non empty regressions: 0.39181999607257517 --- 85798 / 218973
