2023-05-09 10:34:37,286 INFO Starting...
2023-05-09 10:34:37,286 INFO Tickers: ['TGT']
2023-05-09 10:35:54,103 INFO used_ofi_add_6_2: 0.031985678599644705 , std 0.17596191339083847 
2023-05-09 10:35:54,103 INFO used_ofi_add_7_2: 0.024057760545820716 , std 0.15322853749657947 
2023-05-09 10:35:54,103 INFO used_ofi_add_8_2: 0.019719326126965427 , std 0.13903407605354812 
2023-05-09 10:35:54,103 INFO used_ofi_add_9_2: 0.018367561297511565 , std 0.13427655785539677 
2023-05-09 10:35:54,103 INFO used_ofi_add_10_2: 0.02258269284340992 , std 0.14856888916374827 
2023-05-09 10:35:54,103 INFO used_ofi_cancel_1_2: 0.008978275860494217 , std 0.09432744257673417 
2023-05-09 10:35:54,103 INFO used_ofi_cancel_2_2: 0.012613427226187704 , std 0.11159896361435158 
2023-05-09 10:35:54,103 INFO used_ofi_cancel_3_2: 0.016760057175998867 , std 0.12837117145004215 
2023-05-09 10:35:54,103 INFO used_ofi_cancel_4_2: 0.020029866695894013 , std 0.14010235949490188 
2023-05-09 10:35:54,103 INFO used_ofi_cancel_5_2: 0.019733026446182862 , std 0.1390813938435228 
2023-05-09 10:35:54,103 INFO used_ofi_cancel_6_2: 0.014682175428020807 , std 0.12027721792892296 
2023-05-09 10:35:54,103 INFO used_ofi_cancel_7_2: 0.01048531097441237 , std 0.10185955639105364 
2023-05-09 10:35:54,103 INFO used_ofi_cancel_8_2: 0.007959885465331343 , std 0.08886239749584832 
2023-05-09 10:35:54,103 INFO used_ofi_cancel_9_2: 0.00865403497234819 , std 0.09262366139948022 
2023-05-09 10:35:54,103 INFO used_ofi_cancel_10_2: 0.009434953167742142 , std 0.09667437523182995 
2023-05-09 10:35:54,103 INFO used_ofi_trade_1_2: 0.0004521105341754463 , std 0.021258083879793443 
2023-05-09 10:35:54,103 INFO used_ofi_trade_2_2: 0.001968279194238559 , std 0.044321609529123465 
2023-05-09 10:35:54,103 INFO used_ofi_trade_3_2: 0.003594050408041174 , std 0.05984257021306515 
2023-05-09 10:35:54,103 INFO used_ofi_trade_4_2: 0.00539792577167048 , std 0.07327201491042823 
2023-05-09 10:35:54,103 INFO used_ofi_trade_5_2: 0.005119352614249245 , std 0.07136627244756605 
2023-05-09 10:35:54,103 INFO used_ofi_trade_6_2: 0.0036899526425632385 , std 0.06063280376214578 
2023-05-09 10:35:54,103 INFO used_ofi_trade_7_2: 0.002055047882615665 , std 0.045286031630248 
