2023-05-09 09:52:54,012 INFO Starting...
2023-05-09 09:52:54,012 INFO Tickers: ['DHR']
2023-05-09 09:54:12,472 INFO used_ofi_add_4_3: 0.04993309677448818 , std 0.2178067552235187 
2023-05-09 09:54:12,472 INFO used_ofi_add_5_3: 0.04926178113283373 , std 0.21641408931133502 
2023-05-09 09:54:12,472 INFO used_ofi_add_6_3: 0.04569056459015495 , std 0.20881316265405261 
2023-05-09 09:54:12,472 INFO used_ofi_add_7_3: 0.04004603307257059 , std 0.19606720354950027 
2023-05-09 09:54:12,472 INFO used_ofi_add_8_3: 0.03879930402378375 , std 0.19311633289562474 
2023-05-09 09:54:12,472 INFO used_ofi_add_9_3: 0.03564823060377307 , std 0.18541152676841122 
2023-05-09 09:54:12,472 INFO used_ofi_add_10_3: 0.051257460965507165 , std 0.22052241079055127 
2023-05-09 09:54:12,472 INFO used_ofi_cancel_1_3: 0.023231174619701974 , std 0.15063693818413496 
2023-05-09 09:54:12,472 INFO used_ofi_cancel_2_3: 0.03528288875797473 , std 0.18449392000515114 
2023-05-09 09:54:12,472 INFO used_ofi_cancel_3_3: 0.03399505875153558 , std 0.18121643063479428 
2023-05-09 09:54:12,472 INFO used_ofi_cancel_4_3: 0.03132806327720769 , std 0.1742028005759579 
2023-05-09 09:54:12,472 INFO used_ofi_cancel_5_3: 0.030455809620364153 , std 0.1718378691695526 
2023-05-09 09:54:12,472 INFO used_ofi_cancel_6_3: 0.026103674882291424 , std 0.15944363593424182 
2023-05-09 09:54:12,472 INFO used_ofi_cancel_7_3: 0.020815351664360448 , std 0.14276579702242917 
2023-05-09 09:54:12,472 INFO used_ofi_cancel_8_3: 0.021989012343987615 , std 0.1466475219024296 
2023-05-09 09:54:12,472 INFO used_ofi_cancel_9_3: 0.021797207874943485 , std 0.14602085331828463 
2023-05-09 09:54:12,472 INFO used_ofi_cancel_10_3: 0.02973425947491243 , std 0.16985326987841892 
2023-05-09 09:54:12,472 INFO used_ofi_trade_1_3: 0.001141693268119814 , std 0.033769658046852405 
2023-05-09 09:54:12,472 INFO used_ofi_trade_2_3: 0.0029821028163289536 , std 0.05452714809268679 
2023-05-09 09:54:12,472 INFO used_ofi_trade_3_3: 0.004151196722883643 , std 0.06429591191243471 
2023-05-09 09:54:12,472 INFO used_ofi_trade_4_3: 0.0045530727532618175 , std 0.06732267286557571 
2023-05-09 09:54:12,472 INFO used_ofi_trade_5_3: 0.00453937243404438 , std 0.06722177126459418 
2023-05-09 09:54:12,472 INFO used_ofi_trade_6_3: 0.003552949450388861 , std 0.05950063865700806 
2023-05-09 09:54:12,472 INFO used_ofi_trade_7_3: 0.0022788197631671485 , std 0.04768256225974173 
2023-05-09 09:54:12,472 INFO used_ofi_trade_8_3: 0.0014248331986135277 , std 0.037720061624679994 
2023-05-09 09:54:12,472 INFO used_ofi_trade_9_3: 0.0011919277719170858 , std 0.034503725597442636 
2023-05-09 09:54:12,472 INFO used_ofi_trade_10_3: 0.0012193284103519612 , std 0.03489758800518553 
2023-05-09 09:54:13,157 INFO Grouping by horizont:
2023-05-09 09:54:13,157 INFO 1: 0.2706361058212655
2023-05-09 09:54:13,157 INFO 2: 0.43305339014399036
2023-05-09 09:54:13,157 INFO 3: 0.770725157896179
2023-05-09 09:54:13,157 INFO Grouping by ofi type:
2023-05-09 09:54:13,157 INFO add: 0.9086097372735453
2023-05-09 09:54:13,157 INFO cancel: 0.5138670064345833
2023-05-09 09:54:13,158 INFO trade: 0.051937910153306566
2023-05-09 09:54:13,158 INFO Grouping by ofi type and horizont:
2023-05-09 09:54:13,158 INFO add_1: 0.1711306873450152
2023-05-09 09:54:13,158 INFO cancel_1: 0.09016636754303041
2023-05-09 09:54:13,158 INFO trade_1: 0.009339050933220079
2023-05-09 09:54:13,158 INFO add_2: 0.2685216898887077
2023-05-09 09:54:13,158 INFO cancel_2: 0.14896813762427333
2023-05-09 09:54:13,158 INFO trade_2: 0.015563562631009303
2023-05-09 09:54:13,158 INFO add_3: 0.46895736003982225
2023-05-09 09:54:13,158 INFO cancel_3: 0.27473250126727955
2023-05-09 09:54:13,158 INFO trade_3: 0.02703529658907719
2023-05-09 09:54:13,158 INFO Grouping by level:
2023-05-09 09:54:13,158 INFO 1: 0.15636174322861723
