2023-05-09 09:44:14,837 INFO Starting...
2023-05-09 09:44:14,838 INFO Tickers: ['LIN']
2023-05-09 09:44:45,684 INFO used_ofi_trade_6_2: 0.0006425099104122974 , std 0.02533963479269817 
2023-05-09 09:44:45,684 INFO used_ofi_trade_7_2: 0.0005818957679205712 , std 0.024115496371334498 
2023-05-09 09:44:45,684 INFO used_ofi_trade_8_2: 0.0006546327389106427 , std 0.025577415719493415 
2023-05-09 09:44:45,684 INFO used_ofi_trade_9_2: 0.0004606674829371189 , std 0.02145822146421467 
2023-05-09 09:44:45,684 INFO used_ofi_trade_10_2: 0.0014183709343063924 , std 0.037634547402607445 
2023-05-09 09:44:45,684 INFO used_ofi_add_1_3: 0.053304076907223996 , std 0.22463916019317012 
2023-05-09 09:44:45,684 INFO used_ofi_add_2_3: 0.06302658536289688 , std 0.2430107711612602 
2023-05-09 09:44:45,684 INFO used_ofi_add_3_3: 0.049061086932803165 , std 0.2159955941258411 
2023-05-09 09:44:45,684 INFO used_ofi_add_4_3: 0.04358156845155112 , std 0.20416222800227735 
2023-05-09 09:44:45,684 INFO used_ofi_add_5_3: 0.04389676199250809 , std 0.20486541015769646 
2023-05-09 09:44:45,684 INFO used_ofi_add_6_3: 0.04484234261537902 , std 0.20695774188018187 
2023-05-09 09:44:45,684 INFO used_ofi_add_7_3: 0.03593206366909527 , std 0.18612079537111204 
2023-05-09 09:44:45,684 INFO used_ofi_add_8_3: 0.03691401277746124 , std 0.18855070521779194 
2023-05-09 09:44:45,684 INFO used_ofi_add_9_3: 0.04359369128004946 , std 0.20418932724466576 
2023-05-09 09:44:45,684 INFO used_ofi_add_10_3: 0.05708639939870771 , std 0.23200763436231778 
2023-05-09 09:44:45,684 INFO used_ofi_cancel_1_3: 0.020584562790190206 , std 0.14198886774999978 
2023-05-09 09:44:45,684 INFO used_ofi_cancel_2_3: 0.03418637636533356 , std 0.1817076444081022 
2023-05-09 09:44:45,684 INFO used_ofi_cancel_3_3: 0.030767738728800204 , std 0.17268782522898507 
2023-05-09 09:44:45,684 INFO used_ofi_cancel_4_3: 0.031192037726242287 , std 0.17383640156401928 
2023-05-09 09:44:45,684 INFO used_ofi_cancel_5_3: 0.028525015456606337 , std 0.1664672308588291 
2023-05-09 09:44:45,684 INFO used_ofi_cancel_6_3: 0.029628192849955753 , std 0.16955932011659394 
2023-05-09 09:44:45,685 INFO used_ofi_cancel_7_3: 0.026051958442943907 , std 0.15928984243896732 
2023-05-09 09:44:45,685 INFO used_ofi_cancel_8_3: 0.026621731382366134 , std 0.16097519933384544 
2023-05-09 09:44:45,685 INFO used_ofi_cancel_9_3: 0.030428299530846536 , std 0.17176267964405897 
2023-05-09 09:44:45,685 INFO used_ofi_cancel_10_3: 0.03884154250869813 , std 0.19321717595556337 
2023-05-09 09:44:45,685 INFO used_ofi_trade_1_3: 0.0031761810665664513 , std 0.05626804546453374 
2023-05-09 09:44:45,685 INFO used_ofi_trade_2_3: 0.003370146322539975 , std 0.05795505531275632 
2023-05-09 09:44:45,685 INFO used_ofi_trade_3_3: 0.0025700396416491896 , std 0.05063037169416734 
2023-05-09 09:44:45,685 INFO used_ofi_trade_4_3: 0.0016971959897683327 , std 0.04116206403401859 
2023-05-09 09:44:45,685 INFO used_ofi_trade_5_3: 0.0017578101322600589 , std 0.04188938094313381 
2023-05-09 09:44:45,685 INFO used_ofi_trade_6_3: 0.0006667555674089878 , std 0.025813000686133274 
