2023-05-09 10:20:26,936 INFO Starting...
2023-05-09 10:20:26,936 INFO Tickers: ['CB']
2023-05-09 10:21:43,141 INFO used_ofi_add_8_1: 0.014843300419266148 , std 0.12092550124737775 
2023-05-09 10:21:43,141 INFO used_ofi_add_9_1: 0.018286946116535894 , std 0.13398706548867617 
2023-05-09 10:21:43,141 INFO used_ofi_add_10_1: 0.023543758049635998 , std 0.15162272094424434 
2023-05-09 10:21:43,141 INFO used_ofi_cancel_1_1: 0.0040008403591621985 , std 0.06312553869538619 
2023-05-09 10:21:43,141 INFO used_ofi_cancel_2_1: 0.009792011107355883 , std 0.09846891705421208 
2023-05-09 10:21:43,141 INFO used_ofi_cancel_3_1: 0.008969920622596527 , std 0.09428393896428408 
2023-05-09 10:21:43,141 INFO used_ofi_cancel_4_1: 0.009540816792568301 , std 0.0972100283278374 
2023-05-09 10:21:43,141 INFO used_ofi_cancel_5_1: 0.008915114590279237 , std 0.09399806020403517 
2023-05-09 10:21:43,141 INFO used_ofi_cancel_6_1: 0.009362697187537109 , std 0.0963069939771333 
2023-05-09 10:21:43,141 INFO used_ofi_cancel_7_1: 0.009065831179151785 , std 0.09478207575371464 
2023-05-09 10:21:43,141 INFO used_ofi_cancel_8_1: 0.01146359509303324 , std 0.10645271758192096 
2023-05-09 10:21:43,141 INFO used_ofi_cancel_9_1: 0.01345488093389479 , std 0.11521218300574598 
2023-05-09 10:21:43,141 INFO used_ofi_cancel_10_1: 0.019264320359527572 , std 0.13745256025484962 
2023-05-09 10:21:43,141 INFO used_ofi_trade_1_1: 0.0006896425733259041 , std 0.026251989761672555 
2023-05-09 10:21:43,141 INFO used_ofi_trade_2_1: 0.0010824191382664851 , std 0.03288232818818642 
2023-05-09 10:21:43,141 INFO used_ofi_trade_3_1: 0.0009225682106743882 , std 0.03035979378340771 
2023-05-09 10:21:43,141 INFO used_ofi_trade_4_1: 0.0006257022022890653 , std 0.025006213208783046 
2023-05-09 10:21:43,141 INFO used_ofi_trade_5_1: 0.0006211350329292911 , std 0.024914839437575338 
2023-05-09 10:21:43,141 INFO used_ofi_trade_6_1: 0.0007946874686007106 , std 0.028178998215478836 
2023-05-09 10:21:43,141 INFO used_ofi_trade_7_1: 0.0006622395571672588 , std 0.025725493113566977 
