2023-05-09 08:45:16,684 INFO Starting...
2023-05-09 08:45:16,684 INFO Tickers: ['XOM']
2023-05-09 08:46:37,921 INFO 1: 0.2636946107510972
2023-05-09 08:46:37,921 INFO 2: 0.1431592022760797
2023-05-09 08:46:37,921 INFO 3: 0.15537075347188922
2023-05-09 08:46:37,921 INFO 4: 0.19326583642732206
2023-05-09 08:46:37,921 INFO 5: 0.2354262854324506
2023-05-09 08:46:37,921 INFO 6: 0.19015586396496373
2023-05-09 08:46:37,921 INFO 7: 0.1111278559457102
2023-05-09 08:46:37,921 INFO 8: 0.07867179971960013
2023-05-09 08:46:37,921 INFO 9: 0.06910441013275609
2023-05-09 08:46:37,921 INFO 10: 0.08015143419508343
2023-05-09 08:46:37,921 INFO Grouping by level and horizont:
2023-05-09 08:46:37,921 INFO 1_1: 0.05491544619656305
2023-05-09 08:46:37,921 INFO 2_1: 0.02515835285628822
2023-05-09 08:46:37,921 INFO 3_1: 0.026240678074465805
2023-05-09 08:46:37,921 INFO 4_1: 0.03634694688386239
2023-05-09 08:46:37,921 INFO 5_1: 0.043137738442639045
2023-05-09 08:46:37,921 INFO 6_1: 0.033821521374781366
2023-05-09 08:46:37,921 INFO 7_1: 0.017878916578756284
2023-05-09 08:46:37,921 INFO 8_1: 0.011718339703981768
2023-05-09 08:46:37,921 INFO 9_1: 0.010626880939659227
2023-05-09 08:46:37,921 INFO 10_1: 0.01189187708073598
2023-05-09 08:46:37,921 INFO 1_2: 0.07888643805400666
2023-05-09 08:46:37,921 INFO 2_2: 0.04220611673585328
2023-05-09 08:46:37,921 INFO 3_2: 0.04454887132203514
2023-05-09 08:46:37,921 INFO 4_2: 0.05704356244833838
2023-05-09 08:46:37,921 INFO 5_2: 0.07038767336612277
2023-05-09 08:46:37,921 INFO 6_2: 0.05551369346905783
2023-05-09 08:46:37,921 INFO 7_2: 0.03213638211103652
2023-05-09 08:46:37,921 INFO 8_2: 0.023158106250542303
2023-05-09 08:46:37,921 INFO 9_2: 0.019838062226849883
2023-05-09 08:46:37,921 INFO 10_2: 0.022596393162627355
2023-05-09 08:46:37,921 INFO 1_3: 0.12989272650052747
2023-05-09 08:46:37,921 INFO 2_3: 0.0757947326839382
2023-05-09 08:46:37,921 INFO 3_3: 0.08458120407538829
2023-05-09 08:46:37,922 INFO 4_3: 0.09987532709512131
2023-05-09 08:46:37,922 INFO 5_3: 0.12190087362368876
2023-05-09 08:46:37,922 INFO 6_3: 0.10082064912112453
2023-05-09 08:46:37,922 INFO 7_3: 0.061112557255917396
2023-05-09 08:46:37,922 INFO 8_3: 0.04379535376507606
2023-05-09 08:46:37,922 INFO 9_3: 0.03863946696624698
2023-05-09 08:46:37,922 INFO 10_3: 0.04566316395172008
2023-05-09 08:46:37,932 INFO Non empty regressions: 0.3959209582916615 --- 86696 / 218973
