2023-05-09 08:56:06,613 INFO Starting...
2023-05-09 08:56:06,613 INFO Tickers: ['HD']
2023-05-09 08:57:25,702 INFO used_ofi_add_4_3: 0.040881752544834296 , std 0.1980162489638091 
2023-05-09 08:57:25,702 INFO used_ofi_add_5_3: 0.047124531334913435 , std 0.21190519078441233 
2023-05-09 08:57:25,702 INFO used_ofi_add_6_3: 0.05113415809255022 , std 0.22027132352786263 
2023-05-09 08:57:25,702 INFO used_ofi_add_7_3: 0.04999703159750289 , std 0.2179388180865015 
2023-05-09 08:57:25,702 INFO used_ofi_add_8_3: 0.05004726610130016 , std 0.21804251249947984 
2023-05-09 08:57:25,702 INFO used_ofi_add_9_3: 0.05044000858553337 , std 0.21885112318520253 
2023-05-09 08:57:25,702 INFO used_ofi_add_10_3: 0.06503998209824956 , std 0.24659639662190713 
2023-05-09 08:57:25,702 INFO used_ofi_cancel_1_3: 0.012764130737579519 , std 0.11225510101591595 
2023-05-09 08:57:25,702 INFO used_ofi_cancel_2_3: 0.02387965639599403 , std 0.15267422312362783 
2023-05-09 08:57:25,702 INFO used_ofi_cancel_3_3: 0.025035049983331278 , std 0.1562315469284721 
2023-05-09 08:57:25,702 INFO used_ofi_cancel_4_3: 0.028428162376183366 , std 0.16619266518139938 
2023-05-09 08:57:25,702 INFO used_ofi_cancel_5_3: 0.032862499029560725 , std 0.1782766254647334 
2023-05-09 08:57:25,703 INFO used_ofi_cancel_6_3: 0.033931123928520865 , std 0.1810519338683468 
2023-05-09 08:57:25,703 INFO used_ofi_cancel_7_3: 0.03257022555292205 , std 0.1775088898065498 
2023-05-09 08:57:25,703 INFO used_ofi_cancel_8_3: 0.03189434313819512 , std 0.17571879243261998 
2023-05-09 08:57:25,703 INFO used_ofi_cancel_9_3: 0.030921620473757037 , std 0.1731053836858749 
2023-05-09 08:57:25,703 INFO used_ofi_cancel_10_3: 0.034058993574550285 , std 0.18138075568052703 
2023-05-09 08:57:25,703 INFO used_ofi_trade_1_3: 0.0005343124494800728 , std 0.023109023339085613 
2023-05-09 08:57:25,703 INFO used_ofi_trade_2_3: 0.001360898375598818 , std 0.036865245573712256 
2023-05-09 08:57:25,703 INFO used_ofi_trade_3_3: 0.0017445073136870756 , std 0.04173085199129738 
2023-05-09 08:57:25,703 INFO used_ofi_trade_4_3: 0.003466180762011755 , std 0.05877215627265018 
2023-05-09 08:57:25,703 INFO used_ofi_trade_5_3: 0.0053431244948007285 , std 0.0729011352136151 
2023-05-09 08:57:25,703 INFO used_ofi_trade_6_3: 0.005452727048540231 , std 0.07364098598113926 
2023-05-09 08:57:25,703 INFO used_ofi_trade_7_3: 0.005808935348193613 , std 0.07599468151334092 
