2023-05-09 09:54:13,173 INFO Starting...
2023-05-09 09:54:13,173 INFO Tickers: ['LMT']
2023-05-09 09:55:32,389 INFO used_ofi_add_5_2: 0.024144529234197822 , std 0.15349778806959005 
2023-05-09 09:55:32,389 INFO used_ofi_add_6_2: 0.023468646819470893 , std 0.15138649026889361 
2023-05-09 09:55:32,389 INFO used_ofi_add_7_2: 0.02398469217666105 , std 0.15300139449642886 
2023-05-09 09:55:32,389 INFO used_ofi_add_8_2: 0.024117128595762947 , std 0.1534128179262032 
2023-05-09 09:55:32,389 INFO used_ofi_add_9_2: 0.0243043662917346 , std 0.1539924156278217 
2023-05-09 09:55:32,389 INFO used_ofi_add_10_2: 0.03343334566362063 , std 0.17976528324834443 
2023-05-09 09:55:32,389 INFO used_ofi_cancel_1_2: 0.007073931489270367 , std 0.08380865696666112 
2023-05-09 09:55:32,389 INFO used_ofi_cancel_2_2: 0.014371634859092217 , std 0.11901718771072158 
2023-05-09 09:55:32,389 INFO used_ofi_cancel_3_2: 0.01386472304804702 , std 0.11692943386011914 
2023-05-09 09:55:32,389 INFO used_ofi_cancel_4_2: 0.014627374151151055 , std 0.12005587897555578 
2023-05-09 09:55:32,389 INFO used_ofi_cancel_5_2: 0.01514798628141369 , std 0.12214141309577105 
2023-05-09 09:55:32,389 INFO used_ofi_cancel_6_2: 0.01533522397738534 , std 0.12288228058979361 
2023-05-09 09:55:32,389 INFO used_ofi_cancel_7_2: 0.015225621423645837 , std 0.12244918078905084 
2023-05-09 09:55:32,389 INFO used_ofi_cancel_8_2: 0.015677731957821284 , std 0.12422536246065048 
2023-05-09 09:55:32,389 INFO used_ofi_cancel_9_2: 0.01709799838336233 , std 0.12963663384493165 
2023-05-09 09:55:32,389 INFO used_ofi_cancel_10_2: 0.022500490928105292 , std 0.1483044801619275 
2023-05-09 09:55:32,390 INFO used_ofi_trade_1_2: 0.00153443575235303 , std 0.03914180960654388 
2023-05-09 09:55:32,390 INFO used_ofi_trade_2_2: 0.0010457910335977495 , std 0.032321778334612035 
2023-05-09 09:55:32,390 INFO used_ofi_trade_3_2: 0.0007763514223214735 , std 0.02785226563119296 
2023-05-09 09:55:32,390 INFO used_ofi_trade_4_2: 0.0005388792225525522 , std 0.023207516707654294 
2023-05-09 09:55:32,390 INFO used_ofi_trade_5_2: 0.000570846634059907 , std 0.023885576572071465 
2023-05-09 09:55:32,390 INFO used_ofi_trade_6_2: 0.00031510734200106865 , std 0.017748466112993702 
2023-05-09 09:55:32,390 INFO used_ofi_trade_7_2: 0.000392742484233216 , std 0.019813839546496136 
2023-05-09 09:55:32,390 INFO used_ofi_trade_8_2: 0.0003653418457983404 , std 0.019110425718283964 
2023-05-09 09:55:32,390 INFO used_ofi_trade_9_2: 0.0005206121302626351 , std 0.02281098624067926 
2023-05-09 09:55:32,390 INFO used_ofi_trade_10_2: 0.0007763514223214735 , std 0.027852265631192957 
2023-05-09 09:55:32,390 INFO used_ofi_add_1_3: 0.03929251551561151 , std 0.19429002480844695 
2023-05-09 09:55:32,390 INFO used_ofi_add_2_3: 0.047503573499929216 , std 0.21271338463920425 
2023-05-09 09:55:32,390 INFO used_ofi_add_3_3: 0.0419595109899394 , std 0.20049665939218173 
2023-05-09 09:55:32,390 INFO used_ofi_add_4_3: 0.04428399848383134 , std 0.20572536538335606 
2023-05-09 09:55:32,390 INFO used_ofi_add_5_3: 0.0420691135436789 , std 0.20074686356037535 
2023-05-09 09:55:32,390 INFO used_ofi_add_6_3: 0.040160202399382575 , std 0.1963348174487225 
2023-05-09 09:55:32,390 INFO used_ofi_add_7_3: 0.03767131107488138 , std 0.1904000614411164 
2023-05-09 09:55:32,390 INFO used_ofi_add_8_3: 0.04060317938741306 , std 0.19736909892646975 
2023-05-09 09:55:32,390 INFO used_ofi_add_9_3: 0.04172203879017048 , std 0.19995327021422277 
2023-05-09 09:55:32,390 INFO used_ofi_add_10_3: 0.0593726167153028 , std 0.23632077585282377 
2023-05-09 09:55:32,390 INFO used_ofi_cancel_1_3: 0.01576906741927087 , std 0.12458091319298216 
2023-05-09 09:55:32,390 INFO used_ofi_cancel_2_3: 0.02509441803327351 , std 0.15641191839768742 
2023-05-09 09:55:32,390 INFO used_ofi_cancel_3_3: 0.02403035990738584 , std 0.1531434024374127 
2023-05-09 09:55:32,390 INFO used_ofi_cancel_4_3: 0.026400515132002575 , std 0.1603231983612087 
2023-05-09 09:55:32,390 INFO used_ofi_cancel_5_3: 0.026085407790001507 , std 0.15938933242356856 
2023-05-09 09:55:32,390 INFO used_ofi_cancel_6_3: 0.025578495978956308 , std 0.1578741160621678 
2023-05-09 09:55:32,390 INFO used_ofi_cancel_7_3: 0.02587990300173994 , std 0.15877699336604303 
2023-05-09 09:55:32,390 INFO used_ofi_cancel_8_3: 0.02587990300173994 , std 0.15877699336604303 
2023-05-09 09:55:32,390 INFO used_ofi_cancel_9_3: 0.028921373868011125 , std 0.16758558411032215 
2023-05-09 09:55:32,390 INFO used_ofi_cancel_10_3: 0.03992729697268613 , std 0.19578842644329378 
2023-05-09 09:55:32,390 INFO used_ofi_trade_1_3: 0.002397555863051609 , std 0.048906109934599755 
2023-05-09 09:55:32,390 INFO used_ofi_trade_2_3: 0.0020139469249633515 , std 0.0448318072661228 
2023-05-09 09:55:32,390 INFO used_ofi_trade_3_3: 0.001324364191018984 , std 0.036367708898259334 
2023-05-09 09:55:32,390 INFO used_ofi_trade_4_3: 0.0009316217067857681 , std 0.030508257698223504 
2023-05-09 09:55:32,390 INFO used_ofi_trade_5_3: 0.0009133546144958511 , std 0.030207952559616325 
2023-05-09 09:55:32,390 INFO used_ofi_trade_6_3: 0.0006393482301470958 , std 0.025277251907351465 
2023-05-09 09:55:32,390 INFO used_ofi_trade_7_3: 0.0007809181953939527 , std 0.027934000110368288 
2023-05-09 09:55:32,390 INFO used_ofi_trade_8_3: 0.0008539865645536208 , std 0.029210567805182813 
2023-05-09 09:55:32,390 INFO used_ofi_trade_9_3: 0.0009772894375105607 , std 0.031246349272609296 
2023-05-09 09:55:32,390 INFO used_ofi_trade_10_3: 0.0015618363907879053 , std 0.039489201788290365 
2023-05-09 09:55:33,079 INFO Grouping by horizont:
2023-05-09 09:55:33,079 INFO 1: 0.26527471423417504
2023-05-09 09:55:33,079 INFO 2: 0.40940207240162035
2023-05-09 09:55:33,079 INFO 3: 0.7105990236239169
2023-05-09 09:55:33,079 INFO Grouping by ofi type:
2023-05-09 09:55:33,079 INFO add: 0.851301301987003
2023-05-09 09:55:33,079 INFO cancel: 0.5109260045759066
2023-05-09 09:55:33,079 INFO trade: 0.023048503696802804
2023-05-09 09:55:33,079 INFO Grouping by ofi type and horizont:
