2023-05-09 10:15:10,075 INFO Starting...
2023-05-09 10:15:10,075 INFO Tickers: ['TJX']
2023-05-09 10:16:28,756 INFO used_ofi_add_7_1: 0.013202540952537527 , std 0.11414128904534984 
2023-05-09 10:16:28,756 INFO used_ofi_add_8_1: 0.009069611321943801 , std 0.0948016533210928 
2023-05-09 10:16:28,756 INFO used_ofi_add_9_1: 0.008119722522868116 , std 0.08974292523101608 
2023-05-09 10:16:28,756 INFO used_ofi_add_10_1: 0.01091458764322542 , std 0.10390120028086186 
2023-05-09 10:16:28,756 INFO used_ofi_cancel_1_1: 0.011129225977631945 , std 0.1049064645613927 
2023-05-09 10:16:28,756 INFO used_ofi_cancel_2_1: 0.009827695651975358 , std 0.09864639907339498 
2023-05-09 10:16:28,756 INFO used_ofi_cancel_3_1: 0.008453096957159102 , std 0.09155130861430638 
2023-05-09 10:16:28,756 INFO used_ofi_cancel_4_1: 0.00974549373667073 , std 0.09823705557730873 
2023-05-09 10:16:28,756 INFO used_ofi_cancel_5_1: 0.0094440867138871 , std 0.09672071101903501 
2023-05-09 10:16:28,756 INFO used_ofi_cancel_6_1: 0.007640211350257794 , std 0.08707375334037913 
2023-05-09 10:16:28,756 INFO used_ofi_cancel_7_1: 0.0053431244948007285 , std 0.0729011352136151 
2023-05-09 10:16:28,756 INFO used_ofi_cancel_8_1: 0.0039045909769697632 , std 0.062364614536388585 
2023-05-09 10:16:28,756 INFO used_ofi_cancel_9_1: 0.003685385869490759 , std 0.06059541072130559 
2023-05-09 10:16:28,756 INFO used_ofi_cancel_10_1: 0.00435213473807273 , std 0.0658269979665972 
2023-05-09 10:16:28,756 INFO used_ofi_trade_1_1: 0.00032424088814602715 , std 0.018003770604861673 
2023-05-09 10:16:28,756 INFO used_ofi_trade_2_1: 0.002201184620935001 , std 0.04686511930209461 
2023-05-09 10:16:28,757 INFO used_ofi_trade_3_1: 0.003091705370068456 , std 0.05551708500969 
