2023-05-09 09:28:12,233 INFO Starting...
2023-05-09 09:28:12,233 INFO Tickers: ['COST']
2023-05-09 09:29:31,444 INFO used_ofi_add_9_2: 0.03208158083416677 , std 0.17621677844447048 
2023-05-09 09:29:31,444 INFO used_ofi_add_10_2: 0.04065798066428281 , std 0.19749660572421396 
2023-05-09 09:29:31,444 INFO used_ofi_cancel_1_2: 0.0036214510464760495 , std 0.06006942765495629 
2023-05-09 09:29:31,444 INFO used_ofi_cancel_2_2: 0.011403232361980702 , std 0.10617532036061571 
2023-05-09 09:29:31,444 INFO used_ofi_cancel_3_2: 0.011544802327227557 , std 0.10682471561606326 
2023-05-09 09:29:31,444 INFO used_ofi_cancel_4_2: 0.013759687267379996 , std 0.11649188072000508 
2023-05-09 09:29:31,444 INFO used_ofi_cancel_5_2: 0.014262032305352714 , std 0.11856908003300773 
2023-05-09 09:29:31,444 INFO used_ofi_cancel_6_2: 0.015622930680951533 , std 0.12401151042499933 
2023-05-09 09:29:31,444 INFO used_ofi_cancel_7_2: 0.016239445045736232 , std 0.12639511648138443 
2023-05-09 09:29:31,444 INFO used_ofi_cancel_8_2: 0.017805848209596617 , std 0.13224522667806737 
2023-05-09 09:29:31,444 INFO used_ofi_cancel_9_2: 0.018111822005452728 , std 0.1333558544237767 
2023-05-09 09:29:31,444 INFO used_ofi_cancel_10_2: 0.022678595077931983 , std 0.1488767154501441 
2023-05-09 09:29:31,444 INFO used_ofi_trade_1_2: 0.0006119475917122202 , std 0.024730004283404758 
2023-05-09 09:29:31,444 INFO used_ofi_trade_2_2: 0.0020093801518908726 , std 0.04478105116336663 
2023-05-09 09:29:31,444 INFO used_ofi_trade_3_2: 0.002233152032442356 , std 0.04720344335366176 
2023-05-09 09:29:31,444 INFO used_ofi_trade_4_2: 0.0020230804711083104 , std 0.04493314607854351 
2023-05-09 09:29:31,444 INFO used_ofi_trade_5_2: 0.0021920510747900426 , std 0.04676800174131404 
2023-05-09 09:29:31,444 INFO used_ofi_trade_6_2: 0.0021189827056303746 , std 0.045983612493187324 
2023-05-09 09:29:31,444 INFO used_ofi_trade_7_2: 0.002114415932557895 , std 0.045934139567668404 
2023-05-09 09:29:31,444 INFO used_ofi_trade_8_2: 0.001981979513455997 , std 0.044475288314571246 
2023-05-09 09:29:31,444 INFO used_ofi_trade_9_2: 0.0018906440520064117 , std 0.04344041340819657 
2023-05-09 09:29:31,444 INFO used_ofi_trade_10_2: 0.0019774127403835175 , std 0.04442412159219006 
2023-05-09 09:29:31,444 INFO used_ofi_add_1_3: 0.034552205066378044 , std 0.18264268447279514 
2023-05-09 09:29:31,444 INFO used_ofi_add_2_3: 0.04718389938485567 , std 0.21203202358062684 
2023-05-09 09:29:31,444 INFO used_ofi_add_3_3: 0.0379316171400127 , std 0.19103091258002247 
2023-05-09 09:29:31,444 INFO used_ofi_add_4_3: 0.043293008727103344 , std 0.20351590631313882 
2023-05-09 09:29:31,444 INFO used_ofi_add_5_3: 0.042667360816173686 , std 0.2021060541823429 
2023-05-09 09:29:31,444 INFO used_ofi_add_6_3: 0.047380270626972275 , std 0.21245088981288626 
2023-05-09 09:29:31,444 INFO used_ofi_add_7_3: 0.04809268722627904 , std 0.21396210099369078 
2023-05-09 09:29:31,444 INFO used_ofi_add_8_3: 0.04762230959981367 , std 0.21296578417246553 
2023-05-09 09:29:31,444 INFO used_ofi_add_9_3: 0.05111589100026031 , std 0.22023409519760972 
2023-05-09 09:29:31,444 INFO used_ofi_add_10_3: 0.07400912441259881 , std 0.2617857404754493 
2023-05-09 09:29:31,444 INFO used_ofi_cancel_1_3: 0.00956738958684404 , std 0.09734400157861597 
2023-05-09 09:29:31,444 INFO used_ofi_cancel_2_3: 0.022614660254917273 , std 0.14867157561710287 
2023-05-09 09:29:31,444 INFO used_ofi_cancel_3_3: 0.02158713631360944 , std 0.1453311111200458 
2023-05-09 09:29:31,444 INFO used_ofi_cancel_4_3: 0.02631374644362547 , std 0.16006665234122333 
2023-05-09 09:29:31,444 INFO used_ofi_cancel_5_3: 0.02681152470852571 , std 0.1615322470942871 
2023-05-09 09:29:31,444 INFO used_ofi_cancel_6_3: 0.028053686984240066 , std 0.16512624755268424 
2023-05-09 09:29:31,444 INFO used_ofi_cancel_7_3: 0.02778424737296379 , std 0.1643541388918507 
2023-05-09 09:29:31,444 INFO used_ofi_cancel_8_3: 0.02998086522082631 , std 0.17053449194059528 
2023-05-09 09:29:31,444 INFO used_ofi_cancel_9_3: 0.031935444095847434 , std 0.1758282443359099 
2023-05-09 09:29:31,444 INFO used_ofi_cancel_10_3: 0.039698958319062165 , std 0.19525099494610404 
2023-05-09 09:29:31,444 INFO used_ofi_trade_1_3: 0.001123426175829897 , std 0.03349871772855428 
2023-05-09 09:29:31,444 INFO used_ofi_trade_2_3: 0.0038178222885926574 , std 0.06167046717485917 
2023-05-09 09:29:31,445 INFO used_ofi_trade_3_3: 0.004429769880304878 , std 0.06640893779539334 
2023-05-09 09:29:31,445 INFO used_ofi_trade_4_3: 0.004219698318970832 , std 0.06482200602471129 
2023-05-09 09:29:31,445 INFO used_ofi_trade_5_3: 0.003927424842332159 , std 0.06254598449492975 
2023-05-09 09:29:31,445 INFO used_ofi_trade_6_3: 0.003913724523114722 , std 0.062437226743921735 
2023-05-09 09:29:31,445 INFO used_ofi_trade_7_3: 0.003178474058445562 , std 0.05628828795677972 
2023-05-09 09:29:31,445 INFO used_ofi_trade_8_3: 0.003913724523114722 , std 0.06243722674392172 
2023-05-09 09:29:31,445 INFO used_ofi_trade_9_3: 0.003552949450388861 , std 0.059500638657008074 
2023-05-09 09:29:31,445 INFO used_ofi_trade_10_3: 0.004502838249464546 , std 0.06695194319184251 
2023-05-09 09:29:32,131 INFO Grouping by horizont:
2023-05-09 09:29:32,137 INFO 1: 0.27738122964931744
2023-05-09 09:29:32,137 INFO 2: 0.44029629223694255
2023-05-09 09:29:32,137 INFO 3: 0.7747758856114678
2023-05-09 09:29:32,137 INFO Grouping by ofi type:
2023-05-09 09:29:32,137 INFO add: 0.9282422947121333
2023-05-09 09:29:32,137 INFO cancel: 0.4973444214583533
2023-05-09 09:29:32,137 INFO trade: 0.06686669132724125
2023-05-09 09:29:32,137 INFO Grouping by ofi type and horizont:
2023-05-09 09:29:32,137 INFO add_1: 0.1783005210688076
2023-05-09 09:29:32,137 INFO cancel_1: 0.08794691582980552
2023-05-09 09:29:32,137 INFO trade_1: 0.011133792750704424
2023-05-09 09:29:32,137 INFO add_2: 0.2760933996428784
2023-05-09 09:29:32,137 INFO cancel_2: 0.14504984632808612
2023-05-09 09:29:32,137 INFO trade_2: 0.019153046265977997
2023-05-09 09:29:32,137 INFO add_3: 0.47384837400044755
2023-05-09 09:29:32,138 INFO cancel_3: 0.26434765930046167
2023-05-09 09:29:32,138 INFO trade_3: 0.03657985231055884
2023-05-09 09:29:32,138 INFO Grouping by level:
