2023-05-09 09:09:35,219 INFO Starting...
2023-05-09 09:09:35,219 INFO Tickers: ['C']
2023-05-09 09:10:57,156 INFO used_ofi_trade_4_3: 0.011142926296849383 , std 0.10497028860774066 
2023-05-09 09:10:57,156 INFO used_ofi_trade_5_3: 0.012375955026418783 , std 0.11055673097375322 
2023-05-09 09:10:57,156 INFO used_ofi_trade_6_3: 0.005539495736917337 , std 0.0742213562520789 
2023-05-09 09:10:57,156 INFO used_ofi_trade_7_3: 0.004005059984564307 , std 0.06315868490622924 
2023-05-09 09:10:57,156 INFO used_ofi_trade_8_3: 0.0028679334895169726 , std 0.053476241893168595 
2023-05-09 09:10:57,156 INFO used_ofi_trade_9_3: 0.0031145392354308523 , std 0.05572108111641244 
2023-05-09 09:10:57,156 INFO used_ofi_trade_10_3: 0.003342877889054815 , std 0.05772090658049026 
2023-05-09 09:10:57,832 INFO Grouping by horizont:
2023-05-09 09:10:57,832 INFO 1: 0.2512410205824463
2023-05-09 09:10:57,832 INFO 2: 0.41442095600827494
2023-05-09 09:10:57,832 INFO 3: 0.7875491498951925
2023-05-09 09:10:57,832 INFO Grouping by ofi type:
2023-05-09 09:10:57,832 INFO add: 0.9180081562567074
2023-05-09 09:10:57,832 INFO cancel: 0.42990231672397966
2023-05-09 09:10:57,832 INFO trade: 0.10530065350522667
2023-05-09 09:10:57,832 INFO Grouping by ofi type and horizont:
2023-05-09 09:10:57,832 INFO add_1: 0.1623487827266375
2023-05-09 09:10:57,832 INFO cancel_1: 0.07130102798061862
2023-05-09 09:10:57,832 INFO trade_1: 0.01759120987519009
2023-05-09 09:10:57,832 INFO add_2: 0.26327446762842904
2023-05-09 09:10:57,832 INFO cancel_2: 0.12097838546304795
2023-05-09 09:10:57,832 INFO trade_2: 0.03016810291679796
2023-05-09 09:10:57,832 INFO add_3: 0.49238490590164086
2023-05-09 09:10:57,832 INFO cancel_3: 0.23762290328031313
2023-05-09 09:10:57,832 INFO trade_3: 0.057541340713238624
2023-05-09 09:10:57,832 INFO Grouping by level:
2023-05-09 09:10:57,832 INFO 1: 0.27011549369100296
2023-05-09 09:10:57,832 INFO 2: 0.16191950605782446
2023-05-09 09:10:57,832 INFO 3: 0.14887680216282373
2023-05-09 09:10:57,832 INFO 4: 0.18948454832330924
2023-05-09 09:10:57,832 INFO 5: 0.2211322857155905
2023-05-09 09:10:57,832 INFO 6: 0.13056404214218192
2023-05-09 09:10:57,832 INFO 7: 0.09164143524544122
2023-05-09 09:10:57,832 INFO 8: 0.08004639841441638
2023-05-09 09:10:57,832 INFO 9: 0.07881336968484699
2023-05-09 09:10:57,832 INFO 10: 0.08061724504847628
2023-05-09 09:10:57,833 INFO Grouping by level and horizont:
2023-05-09 09:10:57,833 INFO 1_1: 0.05081448397747668
2023-05-09 09:10:57,833 INFO 2_1: 0.027939517657428085
2023-05-09 09:10:57,833 INFO 3_1: 0.026546651870321913
2023-05-09 09:10:57,833 INFO 4_1: 0.03328720892530129
2023-05-09 09:10:57,833 INFO 5_1: 0.039333616473263826
2023-05-09 09:10:57,833 INFO 6_1: 0.023244874938919413
2023-05-09 09:10:57,833 INFO 7_1: 0.014586273193498742
2023-05-09 09:10:57,833 INFO 8_1: 0.012330287295693989
2023-05-09 09:10:57,833 INFO 9_1: 0.01164070456174962
2023-05-09 09:10:57,833 INFO 10_1: 0.011517401688792683
2023-05-09 09:10:57,833 INFO 1_2: 0.07875856840797724
2023-05-09 09:10:57,833 INFO 2_2: 0.04653541760856361
2023-05-09 09:10:57,833 INFO 3_2: 0.043183406173363845
2023-05-09 09:10:57,833 INFO 4_2: 0.055349289638448575
2023-05-09 09:10:57,833 INFO 5_2: 0.06330460833070745
2023-05-09 09:10:57,833 INFO 6_2: 0.03722376731377841
2023-05-09 09:10:57,833 INFO 7_2: 0.024925447429591775
2023-05-09 09:10:57,833 INFO 8_2: 0.02274709667401917
2023-05-09 09:10:57,833 INFO 9_2: 0.02085645262201276
2023-05-09 09:10:57,833 INFO 10_2: 0.021536901809812166
2023-05-09 09:10:57,833 INFO 1_3: 0.14054244130554908
2023-05-09 09:10:57,833 INFO 2_3: 0.08744457079183278
2023-05-09 09:10:57,833 INFO 3_3: 0.07914674411913797
2023-05-09 09:10:57,833 INFO 4_3: 0.10084804975955938
2023-05-09 09:10:57,833 INFO 5_3: 0.11849406091161924
2023-05-09 09:10:57,833 INFO 6_3: 0.0700953998894841
2023-05-09 09:10:57,833 INFO 7_3: 0.052129714622350706
2023-05-09 09:10:57,833 INFO 8_3: 0.04496901444470323
2023-05-09 09:10:57,833 INFO 9_3: 0.046316212501084614
2023-05-09 09:10:57,833 INFO 10_3: 0.047562941549871444
2023-05-09 09:10:57,844 INFO Non empty regressions: 0.38855018655268003 --- 85082 / 218973
