2023-05-09 08:54:46,716 INFO Starting...
2023-05-09 08:54:46,716 INFO Tickers: ['VZ']
2023-05-09 08:56:05,920 INFO used_ofi_add_8_2: 0.0079690190114763 , std 0.08891295601581936 
2023-05-09 08:56:05,920 INFO used_ofi_add_9_2: 0.008288693126549848 , std 0.090664164325293 
2023-05-09 08:56:05,920 INFO used_ofi_add_10_2: 0.008512465007101332 , std 0.09186948865975149 
2023-05-09 08:56:05,920 INFO used_ofi_cancel_1_2: 0.025368424417622264 , std 0.15724143048252154 
2023-05-09 08:56:05,920 INFO used_ofi_cancel_2_2: 0.01319340740639257 , std 0.11410232866774242 
2023-05-09 08:56:05,920 INFO used_ofi_cancel_3_2: 0.01814378941696008 , std 0.13347131647868427 
2023-05-09 08:56:05,920 INFO used_ofi_cancel_4_2: 0.025811401405652752 , std 0.1585722956986151 
2023-05-09 08:56:05,920 INFO used_ofi_cancel_5_2: 0.009466920579249496 , std 0.09683644971804613 
2023-05-09 08:56:05,920 INFO used_ofi_cancel_6_2: 0.0039182912961872015 , std 0.06247350069833949 
2023-05-09 08:56:05,920 INFO used_ofi_cancel_7_2: 0.0018586766404990569 , std 0.043072287629578265 
2023-05-09 08:56:05,920 INFO used_ofi_cancel_8_2: 0.0018997775981513703 , std 0.04354501628463277 
2023-05-09 08:56:05,921 INFO used_ofi_cancel_9_2: 0.001876943732788974 , std 0.043283031490561265 
2023-05-09 08:56:05,921 INFO used_ofi_cancel_10_2: 0.0017171066752522 , std 0.04140239389115084 
2023-05-09 08:56:05,921 INFO used_ofi_trade_1_2: 0.00039730925730569524 , std 0.019928657823841383 
2023-05-09 08:56:05,921 INFO used_ofi_trade_2_2: 0.00459874048398661 , std 0.06765790471147888 
2023-05-09 08:56:05,921 INFO used_ofi_trade_3_2: 0.007695012627127545 , std 0.08738306133225072 
2023-05-09 08:56:05,921 INFO used_ofi_trade_4_2: 0.011165760162211779 , std 0.10507657189979003 
2023-05-09 08:56:05,921 INFO used_ofi_trade_5_2: 0.004799678499175697 , std 0.06911325188037565 
2023-05-09 08:56:05,921 INFO used_ofi_trade_6_2: 0.002488891324501194 , std 0.049826667001476393 
2023-05-09 08:56:05,921 INFO used_ofi_trade_7_2: 0.0024112561822690467 , std 0.04904530584971937 
2023-05-09 08:56:05,921 INFO used_ofi_trade_8_2: 0.0016942728098898038 , std 0.041126661055031835 
2023-05-09 08:56:05,921 INFO used_ofi_trade_9_2: 0.0018586766404990569 , std 0.04307228762957826 
2023-05-09 08:56:05,921 INFO used_ofi_trade_10_2: 0.002041347563398227 , std 0.04513513557666173 
2023-05-09 08:56:05,921 INFO used_ofi_add_1_3: 0.15401898864243538 , std 0.3609669510910891 
2023-05-09 08:56:05,921 INFO used_ofi_add_2_3: 0.05299283473304928 , std 0.22401918266078244 
2023-05-09 08:56:05,921 INFO used_ofi_add_3_3: 0.049216113402108935 , std 0.21631894873935498 
2023-05-09 08:56:05,921 INFO used_ofi_add_4_3: 0.08280929612326633 , std 0.27559375282984105 
2023-05-09 08:56:05,921 INFO used_ofi_add_5_3: 0.040109967895585304 , std 0.19621712048391807 
2023-05-09 08:56:05,921 INFO used_ofi_add_6_3: 0.023523448096340646 , std 0.15155888454986538 
2023-05-09 08:56:05,921 INFO used_ofi_add_7_3: 0.019048010485310976 , std 0.1366937591181926 
2023-05-09 08:56:05,921 INFO used_ofi_add_8_3: 0.016335347280258296 , std 0.12676160187332622 
2023-05-09 08:56:05,921 INFO used_ofi_add_9_3: 0.018134655870815124 , std 0.13343833829624166 
2023-05-09 08:56:05,921 INFO used_ofi_add_10_3: 0.019408785558036837 , std 0.13795682151020652 
2023-05-09 08:56:05,921 INFO used_ofi_cancel_1_3: 0.049599722340197196 , std 0.21711653526153307 
2023-05-09 08:56:05,921 INFO used_ofi_cancel_2_3: 0.02537755796376722 , std 0.15726899731213032 
2023-05-09 08:56:05,921 INFO used_ofi_cancel_3_3: 0.03331004279066369 , std 0.17944493261150576 
2023-05-09 08:56:05,921 INFO used_ofi_cancel_4_3: 0.04692359331972435 , std 0.2114752224486109 
2023-05-09 08:56:05,921 INFO used_ofi_cancel_5_3: 0.0169290277796806 , std 0.12900556498893917 
2023-05-09 08:56:05,921 INFO used_ofi_cancel_6_3: 0.006078374959469889 , std 0.0777266255366974 
2023-05-09 08:56:05,921 INFO used_ofi_cancel_7_3: 0.004155763495956122 , std 0.06433112097361433 
2023-05-09 08:56:05,921 INFO used_ofi_cancel_8_3: 0.0034935814004466302 , std 0.05900318880742872 
2023-05-09 08:56:05,921 INFO used_ofi_cancel_9_3: 0.002790298347284825 , std 0.052749526845441604 
2023-05-09 08:56:05,921 INFO used_ofi_cancel_10_3: 0.0025939271051682172 , std 0.05086451265215554 
2023-05-09 08:56:05,921 INFO used_ofi_trade_1_3: 0.0009772894375105607 , std 0.031246349272609292 
2023-05-09 08:56:05,921 INFO used_ofi_trade_2_3: 0.009160946783393386 , std 0.09527341621577981 
2023-05-09 08:56:05,921 INFO used_ofi_trade_3_3: 0.013608983755988182 , std 0.11586103450736762 
2023-05-09 08:56:05,921 INFO used_ofi_trade_4_3: 0.017860649486466366 , std 0.1324448816919248 
2023-05-09 08:56:05,921 INFO used_ofi_trade_5_3: 0.008786471391450088 , std 0.09332346603045409 
2023-05-09 08:56:05,921 INFO used_ofi_trade_6_3: 0.0056353979714394015 , std 0.07485746630191872 
2023-05-09 08:56:05,921 INFO used_ofi_trade_7_3: 0.003982226119201911 , std 0.06297910760194572 
2023-05-09 08:56:05,921 INFO used_ofi_trade_8_3: 0.003055171185488622 , std 0.05518910322261072 
2023-05-09 08:56:05,921 INFO used_ofi_trade_9_3: 0.0034342133505044 , std 0.05850144894930054 
2023-05-09 08:56:05,921 INFO used_ofi_trade_10_3: 0.0034022459389970454 , std 0.05822946557858507 
2023-05-09 08:56:06,597 INFO Grouping by horizont:
2023-05-09 08:56:06,597 INFO 1: 0.27852292291743747
2023-05-09 08:56:06,597 INFO 2: 0.42933603686299227
2023-05-09 08:56:06,597 INFO 3: 0.736752933010006
2023-05-09 08:56:06,597 INFO Grouping by ofi type:
2023-05-09 08:56:06,597 INFO add: 0.9564740858462003
2023-05-09 08:56:06,597 INFO cancel: 0.3564412050800784
2023-05-09 08:56:06,597 INFO trade: 0.13169660186415677
2023-05-09 08:56:06,597 INFO Grouping by ofi type and horizont:
2023-05-09 08:56:06,597 INFO add_1: 0.19394628561512148
2023-05-09 08:56:06,597 INFO cancel_1: 0.06193457640896367
2023-05-09 08:56:06,597 INFO trade_1: 0.022642060893352148
2023-05-09 08:56:06,597 INFO add_2: 0.28693035214387164
2023-05-09 08:56:06,597 INFO cancel_2: 0.10325473916875597
2023-05-09 08:56:06,597 INFO trade_2: 0.039150945550364656
2023-05-09 08:56:06,597 INFO add_3: 0.4755974480872071
2023-05-09 08:56:06,597 INFO cancel_3: 0.19125188950235877
2023-05-09 08:56:06,597 INFO trade_3: 0.06990359542043996
2023-05-09 08:56:06,597 INFO Grouping by level:
2023-05-09 08:56:06,597 INFO 1: 0.44642946847328213
2023-05-09 08:56:06,597 INFO 2: 0.1714549282331612
2023-05-09 08:56:06,597 INFO 3: 0.1792869440524631
2023-05-09 08:56:06,597 INFO 4: 0.28255995031350895
2023-05-09 08:56:06,597 INFO 5: 0.12309736816867832
2023-05-09 08:56:06,597 INFO 6: 0.06461527220250898
2023-05-09 08:56:06,597 INFO 7: 0.04866353386033895
2023-05-09 08:56:06,597 INFO 8: 0.04084978513332693
2023-05-09 08:56:06,597 INFO 9: 0.043156005534928966
2023-05-09 08:56:06,597 INFO 10: 0.04449863681823786
2023-05-09 08:56:06,597 INFO Grouping by level and horizont:
2023-05-09 08:56:06,598 INFO 1_1: 0.10325017239568347
2023-05-09 08:56:06,598 INFO 2_1: 0.03228251884935586
2023-05-09 08:56:06,598 INFO 3_1: 0.030688715047060597
2023-05-09 08:56:06,598 INFO 4_1: 0.05276906285249779
2023-05-09 08:56:06,598 INFO 5_1: 0.020829051983577884
2023-05-09 08:56:06,598 INFO 6_1: 0.010818685408703357
2023-05-09 08:56:06,598 INFO 7_1: 0.007886817096171674
2023-05-09 08:56:06,598 INFO 8_1: 0.006402615847615917
2023-05-09 08:56:06,598 INFO 9_1: 0.006772524466486736
2023-05-09 08:56:06,598 INFO 10_1: 0.006822758970284008
2023-05-09 08:56:06,598 INFO 1_2: 0.13858329565745547
2023-05-09 08:56:06,598 INFO 2_2: 0.051641069903595425
2023-05-09 08:56:06,598 INFO 3_2: 0.05246308905664168
2023-05-09 08:56:06,598 INFO 4_2: 0.08219734853155412
2023-05-09 08:56:06,598 INFO 5_2: 0.036442849118384454
2023-05-09 08:56:06,598 INFO 6_2: 0.018559365766555695
2023-05-09 08:56:06,598 INFO 7_2: 0.013590716663698262
2023-05-09 08:56:06,598 INFO 8_2: 0.011563069419517475
2023-05-09 08:56:06,598 INFO 9_2: 0.01202431349983788
2023-05-09 08:56:06,598 INFO 10_2: 0.012270919245751757
2023-05-09 08:56:06,598 INFO 1_3: 0.20459600042014311
2023-05-09 08:56:06,598 INFO 2_3: 0.08753133948020989
2023-05-09 08:56:06,598 INFO 3_3: 0.0961351399487608
2023-05-09 08:56:06,598 INFO 4_3: 0.14759353892945706
2023-05-09 08:56:06,598 INFO 5_3: 0.06582546706671599
2023-05-09 08:56:06,598 INFO 6_3: 0.03523722102724994
2023-05-09 08:56:06,598 INFO 7_3: 0.02718600010046901
2023-05-09 08:56:06,598 INFO 8_3: 0.02288409986619355
2023-05-09 08:56:06,598 INFO 9_3: 0.024359167568604352
2023-05-09 08:56:06,598 INFO 10_3: 0.0254049586022021
2023-05-09 08:56:06,610 INFO Non empty regressions: 0.39067830280445537 --- 85548 / 218973
