2023-05-09 10:04:26,913 INFO Starting...
2023-05-09 10:04:26,913 INFO Tickers: ['GILD']
2023-05-09 10:05:46,817 INFO used_ofi_add_8_3: 0.04107355701387842 , std 0.198460373697386 
2023-05-09 10:05:46,817 INFO used_ofi_add_9_3: 0.04121969375219776 , std 0.19879796427321075 
2023-05-09 10:05:46,817 INFO used_ofi_add_10_3: 0.05629461166445178 , std 0.23048975760757864 
2023-05-09 10:05:46,817 INFO used_ofi_cancel_1_3: 0.02490261356422938 , std 0.15582834595124226 
2023-05-09 10:05:46,817 INFO used_ofi_cancel_2_3: 0.027080964319801986 , std 0.16231939407018373 
2023-05-09 10:05:46,817 INFO used_ofi_cancel_3_3: 0.028912240321866164 , std 0.16755990773880494 
2023-05-09 10:05:46,817 INFO used_ofi_cancel_4_3: 0.030880519516104724 , std 0.17299396819114876 
2023-05-09 10:05:46,817 INFO used_ofi_cancel_5_3: 0.03073438277778539 , std 0.17259716247103823 
2023-05-09 10:05:46,817 INFO used_ofi_cancel_6_3: 0.018810538285542053 , std 0.13585544499559155 
2023-05-09 10:05:46,817 INFO used_ofi_cancel_7_3: 0.01423463166691784 , std 0.11845677240337514 
2023-05-09 10:05:46,817 INFO used_ofi_cancel_8_3: 0.013513081521466117 , std 0.11545768986628965 
2023-05-09 10:05:46,817 INFO used_ofi_cancel_9_3: 0.013946924963351646 , std 0.11727066234748693 
2023-05-09 10:05:46,817 INFO used_ofi_cancel_10_3: 0.016047640576692102 , std 0.1256587195884687 
2023-05-09 10:05:46,817 INFO used_ofi_trade_1_3: 0.0009087878414233718 , std 0.030132406908221797 
2023-05-09 10:05:46,817 INFO used_ofi_trade_2_3: 0.009480620898466935 , std 0.0969058240037537 
2023-05-09 10:05:46,817 INFO used_ofi_trade_3_3: 0.01307010453343563 , std 0.1135749836051967 
2023-05-09 10:05:46,817 INFO used_ofi_trade_4_3: 0.013412612513871573 , std 0.11503353571643493 
2023-05-09 10:05:46,817 INFO used_ofi_trade_5_3: 0.012901133929753896 , std 0.1128481044283884 
2023-05-09 10:05:46,817 INFO used_ofi_trade_6_3: 0.009220314833335616 , std 0.0955787666153408 
2023-05-09 10:05:46,817 INFO used_ofi_trade_7_3: 0.005932238221150553 , std 0.0767922311880445 
2023-05-09 10:05:46,817 INFO used_ofi_trade_8_3: 0.006210811378571788 , std 0.0785635869890854 
2023-05-09 10:05:46,817 INFO used_ofi_trade_9_3: 0.005662798609874277 , std 0.07503819908405507 
2023-05-09 10:05:46,817 INFO used_ofi_trade_10_3: 0.007329670781329205 , std 0.08529916006366378 
2023-05-09 10:05:47,512 INFO Grouping by horizont:
2023-05-09 10:05:47,512 INFO 1: 0.27980618615080405
2023-05-09 10:05:47,512 INFO 2: 0.4537089047508139
2023-05-09 10:05:47,512 INFO 3: 0.8293442570545225
2023-05-09 10:05:47,512 INFO Grouping by ofi type:
2023-05-09 10:05:47,512 INFO add: 0.9988948409164601
2023-05-09 10:05:47,512 INFO cancel: 0.40844761682947217
