2023-05-09 09:13:21,105 INFO Starting...
2023-05-09 09:13:21,105 INFO Tickers: ['MDT']
2023-05-09 09:14:40,544 INFO used_ofi_trade_10_2: 0.0008494197914811415 , std 0.0291324265638649 
2023-05-09 09:14:40,544 INFO used_ofi_add_1_3: 0.05919451256547611 , std 0.23598839430703325 
2023-05-09 09:14:40,544 INFO used_ofi_add_2_3: 0.04989656258990834 , std 0.217731246337359 
2023-05-09 09:14:40,544 INFO used_ofi_add_3_3: 0.05034867312408379 , std 0.21866340397681538 
2023-05-09 09:14:40,544 INFO used_ofi_add_4_3: 0.05188310887643682 , std 0.22179100948810482 
2023-05-09 09:14:40,544 INFO used_ofi_add_5_3: 0.05668278737561252 , std 0.2312354838491351 
2023-05-09 09:14:40,544 INFO used_ofi_add_6_3: 0.05528078804236139 , std 0.228527509319506 
2023-05-09 09:14:40,544 INFO used_ofi_add_7_3: 0.04229745219730286 , std 0.20126693154842834 
2023-05-09 09:14:40,544 INFO used_ofi_add_8_3: 0.035972471491919095 , std 0.1862215153699544 
2023-05-09 09:14:40,544 INFO used_ofi_add_9_3: 0.03415032903599987 , std 0.18161520878696477 
2023-05-09 09:14:40,544 INFO used_ofi_add_10_3: 0.04895124056390514 , std 0.2157661155305898 
2023-05-09 09:14:40,544 INFO used_ofi_cancel_1_3: 0.0229389011430633 , std 0.14970874375737736 
2023-05-09 09:14:40,544 INFO used_ofi_cancel_2_3: 0.03340137825211328 , std 0.17968229234672103 
2023-05-09 09:14:40,544 INFO used_ofi_cancel_3_3: 0.03453393797408813 , std 0.1825961256491768 
2023-05-09 09:14:40,544 INFO used_ofi_cancel_4_3: 0.03515958588501779 , std 0.18418303234937752 
2023-05-09 09:14:40,544 INFO used_ofi_cancel_5_3: 0.03557059546154092 , std 0.18521697600396222 
2023-05-09 09:14:40,544 INFO used_ofi_cancel_6_3: 0.030327939974334736 , std 0.17148806381567172 
2023-05-09 09:14:40,544 INFO used_ofi_cancel_7_3: 0.020513944641576815 , std 0.14175021240484661 
2023-05-09 09:14:40,544 INFO used_ofi_cancel_8_3: 0.01546309362341476 , std 0.12338551924358167 
2023-05-09 09:14:40,544 INFO used_ofi_cancel_9_3: 0.015718832915473598 , std 0.12438549436027106 
2023-05-09 09:14:40,544 INFO used_ofi_cancel_10_3: 0.02079708457207053 , std 0.14270447030619843 
2023-05-09 09:14:40,544 INFO used_ofi_trade_1_3: 0.0008128856069013075 , std 0.028499558310461578 
2023-05-09 09:14:40,544 INFO used_ofi_trade_2_3: 0.0040324606229991825 , std 0.06337349512472185 
2023-05-09 09:14:40,544 INFO used_ofi_trade_3_3: 0.008151689934375471 , std 0.08991796197417552 
2023-05-09 09:14:40,544 INFO used_ofi_trade_4_3: 0.009083311641161239 , std 0.09487257291119906 
2023-05-09 09:14:40,544 INFO used_ofi_trade_5_3: 0.009850529517337754 , std 0.09875979235278805 
2023-05-09 09:14:40,544 INFO used_ofi_trade_6_3: 0.008749937206870253 , std 0.09313096051123969 
